feature_set,model,cv_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,latency_ms,size_kb,feature_count
top_20,random_forest,0.9237826961770624,0.9237605702823094,0.9833703030761853,4.967538750000013,769.3837890625,20
all_features,random_forest,0.9463581488933602,0.9464873369898571,0.9813820122643652,6.1465687500000055,779.8525390625,91
non_redundant,random_forest,0.9379476861167001,0.9364854380628852,0.980914906503142,5.230312910000006,812.3525390625,76
all_features,xgboost,0.9379476861167003,0.9384063197742585,0.9801249148307972,0.06953959000000509,144.36328125,91
top_20,xgboost,0.9210462776659959,0.9213304904051173,0.9791666035783682,0.06712999999999525,148.087890625,20
non_redundant,xgboost,0.9294969818913481,0.929739857755661,0.9774213288919171,0.06971333000000968,143.9609375,76
top_10,random_forest,0.9210060362173038,0.9215504543122425,0.9761233502409972,5.138246669999997,822.6650390625,10
top_10,xgboost,0.9153319919517102,0.9149048254270227,0.9731053322229792,0.06705750000000066,151.822265625,10
top_20,logistic_regression,0.9153722334004024,0.914882890635807,0.9661420243773184,0.05776707999999964,2.068359375,20
non_redundant,logistic_regression,0.9181891348088531,0.9152343308865047,0.9616544275367804,0.057389999999992725,3.818359375,76
all_features,logistic_regression,0.9125553319919517,0.9094372294372294,0.9592872284048755,0.05866874999999716,4.279296875,91
top_10,logistic_regression,0.9040643863179074,0.9044365013611078,0.9572361016478663,0.0574524999999948,1.755859375,10
